# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 22.761
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page - canopy normal data
t,V,vN,vE,vD,cnN,cnE,cnD,qbar,rho
20.0,13.09,-2.93,11.52,5.49,0.597,0.609,-2.876,85.0,0.9926
20.2,13.12,-2.43,11.81,5.19,0.672,0.513,-2.878,85.5,0.9927
20.4,13.11,-1.86,12.01,4.90,0.770,0.415,-2.869,85.3,0.9928
20.6,13.08,-1.23,12.15,4.68,0.888,0.310,-2.849,85.0,0.9929
20.8,13.01,-0.54,12.19,4.51,1.016,0.192,-2.816,84.1,0.9930
21.0,12.93,0.24,12.14,4.45,1.143,0.062,-2.773,83.1,0.9930
21.2,12.84,1.08,11.99,4.46,1.263,-0.052,-2.721,81.9,0.9931
21.4,12.76,1.95,11.76,4.55,1.361,-0.159,-2.669,80.9,0.9932
21.6,12.77,2.85,11.52,4.73,1.433,-0.251,-2.624,81.0,0.9933
21.8,12.80,3.78,11.18,4.96,1.465,-0.336,-2.596,81.4,0.9934
22.0,12.88,4.69,10.81,5.21,1.449,-0.420,-2.593,82.4,0.9935
22.2,12.96,5.57,10.38,5.41,1.392,-0.487,-2.613,83.5,0.9936
22.4,13.04,6.43,9.91,5.53,1.300,-0.547,-2.648,84.5,0.9937
22.6,13.10,7.23,9.39,5.56,1.190,-0.593,-2.689,85.2,0.9938
22.8,13.10,7.96,8.84,5.49,1.067,-0.633,-2.732,85.3,0.9939
23.0,13.08,8.61,8.26,5.35,0.940,-0.660,-2.772,85.0,0.9941
23.2,13.00,9.16,7.65,5.16,0.815,-0.685,-2.805,84.1,0.9942
23.4,12.91,9.61,7.05,4.95,0.697,-0.704,-2.832,82.8,0.9943
23.6,12.77,9.97,6.44,4.72,0.580,-0.719,-2.854,81.1,0.9944
23.8,12.63,10.25,5.84,4.53,0.472,-0.748,-2.867,79.4,0.9945
24.0,12.44,10.41,5.23,4.36,0.372,-0.767,-2.876,77.0,0.9945
24.2,12.24,10.52,4.60,4.25,0.281,-0.769,-2.886,74.6,0.9946
24.4,12.05,10.58,4.02,4.13,0.203,-0.729,-2.903,72.2,0.9947
24.6,11.83,10.58,3.47,4.00,0.133,-0.642,-2.927,69.6,0.9948
24.8,11.61,10.53,3.02,3.85,0.065,-0.532,-2.952,67.0,0.9949
25.0,11.39,10.45,2.65,3.66,-0.008,-0.390,-2.975,64.5,0.9950
25.2,11.15,10.32,2.39,3.46,-0.082,-0.204,-2.992,61.8,0.9950
25.4,10.86,10.12,2.26,3.23,-0.167,0.014,-2.995,58.7,0.9951
25.6,10.61,9.89,2.37,3.05,-0.251,0.260,-2.978,56.0,0.9952
25.8,10.37,9.59,2.60,2.95,-0.324,0.521,-2.937,53.5,0.9952
26.0,10.16,9.25,3.01,2.95,-0.395,0.776,-2.871,51.4,0.9953
26.2,10.07,8.90,3.58,3.06,-0.464,1.034,-2.778,50.5,0.9953
26.4,10.09,8.52,4.27,3.31,-0.540,1.250,-2.673,50.7,0.9954
26.6,10.23,8.09,5.06,3.68,-0.611,1.392,-2.586,52.1,0.9955
26.8,10.47,7.61,5.90,4.10,-0.652,1.450,-2.544,54.5,0.9956
27.0,10.79,7.14,6.73,4.50,-0.655,1.414,-2.564,58.0,0.9956
27.2,11.15,6.65,7.57,4.79,-0.615,1.299,-2.633,61.9,0.9957
27.4,11.47,6.18,8.31,4.93,-0.542,1.119,-2.730,65.5,0.9958
27.6,11.72,5.77,8.93,4.92,-0.435,0.889,-2.832,68.4,0.9959
27.8,11.85,5.43,9.39,4.77,-0.303,0.648,-2.913,70.0,0.9961
28.0,11.87,5.20,9.66,4.53,-0.152,0.415,-2.967,70.1,0.9962
28.2,11.80,5.08,9.78,4.23,0.014,0.174,-2.995,69.4,0.9962
28.4,11.70,5.11,9.73,3.99,0.201,-0.073,-2.992,68.2,0.9963
28.6,11.49,5.26,9.46,3.85,0.400,-0.341,-2.954,65.8,0.9964
28.8,11.29,5.55,9.05,3.84,0.601,-0.619,-2.873,63.5,0.9964
29.0,11.10,5.94,8.48,4.00,0.789,-0.882,-2.757,61.4,0.9965
29.2,10.99,6.41,7.79,4.36,0.935,-1.130,-2.617,60.2,0.9966
29.4,10.98,6.91,7.00,4.86,1.012,-1.336,-2.488,60.0,0.9967
29.6,11.07,7.45,6.14,5.43,1.009,-1.491,-2.400,61.1,0.9968
29.8,11.22,7.94,5.18,5.99,0.934,-1.600,-2.360,62.7,0.9970
30.0,11.42,8.38,4.17,6.55,0.804,-1.672,-2.358,65.0,0.9971
30.2,11.63,8.73,3.12,7.02,0.656,-1.699,-2.384,67.5,0.9973
30.4,11.83,9.00,2.01,7.41,0.513,-1.690,-2.425,69.8,0.9974
30.6,12.00,9.19,0.87,7.66,0.382,-1.646,-2.479,71.8,0.9975
30.8,12.16,9.33,-0.27,7.80,0.264,-1.567,-2.545,73.8,0.9977
31.0,12.27,9.37,-1.38,7.80,0.151,-1.463,-2.615,75.1,0.9978
31.2,12.33,9.33,-2.41,7.69,0.051,-1.343,-2.682,75.9,0.9980
31.4,12.35,9.23,-3.35,7.50,-0.033,-1.218,-2.742,76.2,0.9982
31.6,12.33,9.07,-4.22,7.21,-0.097,-1.093,-2.792,75.9,0.9983
31.8,12.27,8.86,-4.97,6.88,-0.146,-0.966,-2.836,75.1,0.9985
32.0,12.18,8.63,-5.64,6.49,-0.187,-0.836,-2.875,74.1,0.9986
32.2,12.05,8.37,-6.19,6.06,-0.222,-0.714,-2.905,72.5,0.9987
32.4,11.88,8.10,-6.63,5.63,-0.256,-0.595,-2.929,70.5,0.9988
32.6,11.69,7.79,-6.99,5.22,-0.283,-0.485,-2.947,68.2,0.9989
32.8,11.49,7.48,-7.23,4.86,-0.294,-0.387,-2.960,65.9,0.9990
33.0,11.27,7.18,-7.39,4.56,-0.282,-0.291,-2.973,63.4,0.9991
33.2,11.08,6.90,-7.51,4.33,-0.248,-0.203,-2.983,61.4,0.9992
33.4,10.90,6.68,-7.54,4.16,-0.199,-0.115,-2.991,59.3,0.9993
33.6,10.73,6.50,-7.51,4.05,-0.138,-0.025,-2.997,57.5,0.9994
33.8,10.54,6.36,-7.42,3.95,-0.077,0.050,-2.999,55.6,0.9995
34.0,10.38,6.28,-7.29,3.89,-0.014,0.102,-2.998,53.8,0.9995
34.2,10.20,6.23,-7.12,3.79,0.032,0.125,-2.997,52.0,0.9996
34.4,10.04,6.23,-6.97,3.67,0.049,0.125,-2.997,50.4,0.9997
