# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 2
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page with wind correction
# enhanced_by: polar-visualizer/gps-beta-enhance
# mode: wingsuit
# polar: a5segments
# beta_source: lateral_force_equilibrium
t,V,alpha,beta,gamma,phi,theta,theta_corr,psi,psi_corr,p,q,r,p_corr,q_corr,r_corr,CL,CD,qbar,rho
9.20,56.25,0.17,0.3595,-36.37,-2.37,-36.20,-36.19,192.4,192.8,13.77,-2.12,-0.32,12.28,-2.22,-2.37,0.182524,0.095523,1426.3,0.9015
9.40,56.70,0.00,-0.0778,-36.59,0.51,-36.59,-36.59,192.4,192.3,13.85,-1.71,0.08,12.42,-1.71,-1.88,0.175760,0.094234,1450.0,0.9021
9.60,57.17,0.00,-0.4807,-36.89,3.16,-36.89,-36.86,192.5,191.9,12.55,-1.47,0.50,11.16,-1.36,-1.38,0.168290,0.093031,1475.1,0.9027
9.80,57.65,0.00,-0.8198,-37.18,5.41,-37.18,-37.10,192.6,191.6,9.03,-1.52,0.76,8.03,-1.41,-0.56,0.162792,0.091907,1501.0,0.9034
10.00,58.12,0.00,-0.9966,-37.52,6.58,-37.52,-37.41,192.8,191.6,4.74,-1.43,0.91,4.30,-1.36,0.32,0.162158,0.091851,1527.1,0.9040
10.20,58.59,0.00,-1.0685,-37.79,7.08,-37.79,-37.66,193.0,191.7,0.88,-1.07,0.95,0.84,-1.07,0.90,0.163457,0.092146,1552.6,0.9047
10.40,59.05,0.00,-1.0023,-37.99,6.68,-37.99,-37.87,193.2,191.9,-3.22,-0.84,0.92,-2.81,-0.91,1.49,0.166197,0.092370,1578.4,0.9054
10.60,59.50,0.00,-0.8250,-38.17,5.53,-38.17,-38.09,193.4,192.4,-6.48,-0.72,0.76,-5.74,-0.83,1.73,0.168496,0.092276,1603.8,0.9060
10.80,59.94,0.00,-0.5732,-38.31,3.87,-38.31,-38.27,193.5,192.8,-9.41,-0.49,0.49,-8.32,-0.58,1.89,0.171636,0.092678,1628.9,0.9067
11.00,60.38,0.00,-0.2373,-38.38,1.62,-38.38,-38.37,193.6,193.3,-11.98,0.36,0.24,-10.45,0.32,2.17,0.177506,0.093611,1654.2,0.9074
11.20,60.79,0.20,0.1428,-38.37,-1.00,-38.17,-38.17,193.7,193.9,-14.14,1.65,-0.11,-12.49,1.72,1.98,0.184657,0.094603,1678.0,0.9081
11.40,61.17,0.54,0.5479,-38.25,-3.99,-37.72,-37.67,193.6,194.3,-16.24,2.41,-0.58,-14.72,2.56,1.38,0.193136,0.095731,1700.2,0.9088
11.60,61.54,0.87,0.9555,-38.09,-7.26,-37.22,-37.11,193.3,194.5,-16.77,2.71,-1.04,-15.44,2.94,0.76,0.201929,0.096716,1722.2,0.9096
11.80,61.88,1.14,1.2932,-37.82,-10.28,-36.70,-36.47,192.9,194.5,-14.99,2.92,-1.47,-14.05,3.22,-0.13,0.209486,0.097366,1742.8,0.9103
12.00,62.19,1.34,1.5257,-37.49,-12.67,-36.18,-35.85,192.3,194.1,-11.89,2.93,-1.82,-11.32,3.22,-0.97,0.215398,0.098248,1761.7,0.9110
12.20,62.48,1.48,1.6576,-37.14,-14.33,-35.71,-35.30,191.7,193.7,-7.62,2.77,-1.96,-7.43,2.96,-1.69,0.218956,0.099054,1779.7,0.9117
12.40,62.74,1.54,1.6756,-36.79,-14.97,-35.30,-34.87,191.0,193.0,-2.98,2.78,-1.96,-3.12,2.82,-2.20,0.220761,0.099593,1796.0,0.9124
12.60,62.98,1.61,1.5994,-36.40,-14.78,-34.84,-34.44,190.4,192.3,0.68,2.71,-1.87,0.35,2.67,-2.38,0.222147,0.099984,1810.9,0.9131
12.80,63.20,1.61,1.4734,-36.00,-14.01,-34.44,-34.08,189.8,191.5,2.16,2.55,-1.71,1.78,2.48,-2.34,0.222809,0.100131,1825.0,0.9138
13.00,63.40,1.61,1.3571,-35.58,-13.29,-34.02,-33.70,189.3,190.9,1.17,2.56,-1.57,0.90,2.48,-2.04,0.222622,0.100106,1838.0,0.9145
13.20,63.58,1.61,1.2853,-35.16,-12.97,-33.59,-33.30,188.8,190.3,-1.27,2.70,-1.60,-1.50,2.73,-1.99,0.222552,0.100539,1849.9,0.9152
13.40,63.75,1.68,1.2644,-34.74,-13.22,-33.11,-32.82,188.2,189.7,-3.97,2.88,-1.74,-3.94,2.93,-1.73,0.223206,0.101364,1860.9,0.9159
13.60,63.88,1.74,1.2878,-34.32,-13.94,-32.62,-32.32,187.7,189.2,-5.37,2.85,-1.85,-5.20,2.88,-1.60,0.224304,0.102852,1869.8,0.9165
13.80,63.98,1.74,1.3175,-33.87,-14.73,-32.18,-31.85,187.1,188.6,-4.98,2.78,-2.00,-5.02,2.91,-2.05,0.225438,0.104095,1877.1,0.9172
14.00,64.04,1.74,1.3249,-33.43,-15.27,-31.75,-31.40,186.4,187.9,-1.73,2.94,-2.04,-1.85,2.98,-2.29,0.225407,0.104271,1882.0,0.9179
14.20,64.09,1.81,1.2386,-33.01,-14.74,-31.26,-30.94,185.8,187.2,5.35,2.99,-1.86,4.92,2.87,-2.66,0.226470,0.103683,1886.6,0.9185
14.40,64.16,1.88,1.0215,-32.62,-12.51,-30.78,-30.56,185.2,186.4,14.05,3.09,-1.36,13.17,2.89,-2.93,0.228578,0.103149,1891.8,0.9192
14.60,64.21,1.95,0.6816,-32.10,-8.65,-30.17,-30.07,184.8,185.6,21.75,3.74,-0.52,20.68,3.52,-2.43,0.231666,0.103769,1896.2,0.9199
14.80,64.23,2.21,0.2658,-31.54,-3.56,-29.33,-29.32,184.7,185.0,27.44,4.21,0.41,26.32,4.09,-1.63,0.237407,0.106445,1898.5,0.9205
15.00,64.19,2.48,-0.1619,-30.96,2.30,-28.48,-28.48,184.9,184.7,30.11,4.83,1.36,29.04,4.91,-0.62,0.244976,0.110419,1897.5,0.9211
15.20,64.08,2.89,-0.5283,-30.28,8.15,-27.42,-27.34,185.4,184.8,29.66,5.77,2.31,28.85,5.99,0.76,0.256314,0.112778,1892.7,0.9217
15.40,63.93,3.29,-0.7983,-29.53,13.51,-26.33,-26.14,186.3,185.4,28.27,6.21,3.21,27.82,6.58,2.22,0.267793,0.114623,1884.9,0.9224
15.60,63.81,3.62,-0.9942,-28.74,18.55,-25.31,-24.99,187.5,186.5,26.79,6.29,3.87,26.47,6.69,3.07,0.276965,0.115700,1879.1,0.9229
15.80,63.60,3.89,-1.1347,-28.02,23.16,-24.44,-24.00,188.8,187.7,25.05,6.72,4.54,24.87,7.17,4.07,0.286103,0.118060,1868.0,0.9235
16.00,63.37,4.23,-1.2103,-27.31,27.33,-23.55,-23.00,190.5,189.3,22.45,7.58,5.09,22.37,8.02,4.93,0.295991,0.121389,1855.7,0.9241
16.20,63.09,4.56,-1.2276,-26.60,30.74,-22.68,-22.05,192.3,191.2,19.22,7.88,5.44,19.12,8.16,5.31,0.305913,0.124081,1840.5,0.9246
16.40,62.79,4.76,-1.2256,-25.92,33.56,-21.95,-21.28,194.2,193.1,17.39,7.57,5.71,17.40,7.97,5.82,0.311958,0.127214,1823.5,0.9251
16.60,62.42,4.83,-1.2366,-25.31,36.26,-21.42,-20.68,196.2,195.1,17.22,7.02,6.06,17.15,7.38,6.01,0.313327,0.129617,1803.5,0.9256
16.80,62.03,4.76,-1.2781,-24.82,39.03,-21.12,-20.32,198.1,197.0,17.71,6.67,6.53,17.52,6.90,6.20,0.310883,0.131607,1781.6,0.9262
17.00,61.65,4.70,-1.3352,-24.49,41.91,-20.99,-20.10,200.1,199.0,17.13,6.58,6.85,17.02,6.99,6.64,0.309082,0.130257,1760.7,0.9266
17.20,61.25,4.63,-1.4010,-24.30,44.43,-20.99,-20.01,202.2,201.1,13.19,6.45,6.84,13.06,6.84,6.69,0.306676,0.127515,1739.0,0.9271
17.40,60.97,4.43,-1.4622,-24.16,45.74,-21.06,-20.02,204.2,203.1,6.07,5.76,6.63,5.80,5.76,6.27,0.300962,0.123802,1724.0,0.9276
17.60,60.69,4.09,-1.5346,-24.16,45.51,-21.29,-20.20,205.9,204.8,-2.25,4.24,6.13,-2.56,4.06,5.73,0.291177,0.119885,1709.2,0.9280
17.80,60.42,3.56,-1.6053,-24.20,43.70,-21.62,-20.52,207.3,206.1,-11.28,2.36,5.38,-11.55,2.05,5.16,0.274294,0.117704,1694.8,0.9285
18.00,60.21,2.82,-1.6475,-24.25,40.12,-22.09,-21.03,208.3,207.0,-19.65,0.58,4.81,-19.85,0.06,4.87,0.253881,0.112966,1683.9,0.9290
